AffairShortId,AffairTitle,VoteDate,VoteMeaningYes,VoteMeaningNo
20140099,Loi sur les amendes d‘ordre,Mar 03 2016,Annahme der Vorlage,Ablehnung der Vorlage
20140099,Loi sur les amendes d‘ordre,Mar 03 2016,Antrag der Mehrheit,Antrag der Minderheit Geissbühler
20140099,Loi sur les amendes d‘ordre,Mar 18 2016,Annahme der Vorlage,Ablehnung der Vorlage
20140099,Loi sur les amendes d‘ordre,Mar 03 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Nidegger (Nichteintreten)
20140306,Prolongation par la Confédération de l'incitation financière pour la création de places d'accueil pour enfants en dehors du cadre familial,Dec 17 2015,Antrag der Mehrheit (= Folge geben),Antrag der Minderheit Wasserfallen (= Keine Folge geben)
20140307,Rétablissement de la souveraineté des cantons en matière de procédure électorale. Modification de la Constitution fédérale,Dec 10 2018,Proposta della maggioranza,Proposta della minoranza Pfister Gerhard (secondo CS)
20140307,Rétablissement de la souveraineté des cantons en matière de procédure électorale. Modification de la Constitution fédérale,Dec 10 2018,Accettare il progetto,Respingere il progetto
20140307,Rétablissement de la souveraineté des cantons en matière de procédure électorale. Modification de la Constitution fédérale,Sep 19 2018,Proposition de la majorité (ne pas entrer en matière),Proposition de la minorité Rutz Gregor (entrer en matière) 
20140307,Rétablissement de la souveraineté des cantons en matière de procédure électorale. Modification de la Constitution fédérale,Mar 18 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Pfister Gerhard (Folge geben)
20140307,Rétablissement de la souveraineté des cantons en matière de procédure électorale. Modification de la Constitution fédérale,Dec 14 2018,Accettare il progetto,Respingere il progetto
20140313,Elimination du goulet d'étranglement Berne-Wankdorf-Muri,Mar 17 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Wobmann (Folge geben)
20140316,Souveraineté en matière de procédure électorale,Mar 18 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Pfister Gerhard (Folge geben)
20140319,Accorder la plus haute priorité à l'élargissement à six voies de l'A1 dans le canton d'Argovie,Mar 17 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Wobmann (Folge geben)
20140320,Loup. La récréation est terminée!,Sep 14 2016,Antrag der Mehrheit (Folge geben),Antrag der Minderheit Semadeni (keine Folge geben)
20140413,Droit fondamental à l'autodétermination en matière d'information,Sep 29 2017,Antrag der Mehrheit (Frist verlängern),Antrag der Minderheit Nantermod (abschreiben)
20140415,Deux semaines de congé-paternité payé par le régime des APG,Apr 27 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Ingold (Folge geben)
20140417,Amender le régime de financement des soins,Sep 29 2017,Annahme der Vorlage,Ablehnung der Vorlage
20140417,Amender le régime de financement des soins,Jun 07 2017,Antrag der Mehrheit,Antrag der Minderheit Heim
20140417,Amender le régime de financement des soins,Dec 08 2016,Annahme der Vorlage,Ablehnung der Vorlage
20140422,Droit de veto du Parlement sur les ordonnances du Conseil fédéral,Apr 27 2016,Antrag der Mehrheit (Folge geben),Antrag der Minderheit Heim (keine Folge geben)
20140426,Etrangers. Conditions à remplir pour avoir droit à la rente AI,May 30 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Brunner (Folge geben)
20140427,Prestations complémentaires. Délai de carence,May 30 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Herzog (Folge geben)
20140432,Limiter dans le temps les dénonciations spontanées non punissables. Inciter à l'honnêteté fiscale par une amnistie individuelle,Dec 01 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Pardini (Folge geben)
20140433,Recommandations et décisions de l'OCDE et de ses organismes spécialisés. Obligation d'informer et de consulter la commission législative compétente,Sep 21 2016,Antrag der Mehrheit (Folge geben),Antrag der Minderheit Sommaruga (keine Folge geben)
20140435,Garantir la sécurité alimentaire,Dec 01 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Aebi (Folge geben)
20140436,Pour un approvisionnement en énergie respectueux de l'environnement et du climat,Dec 01 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Schillger (Folge geben)
20140439,Désignation des médecins-conseils. Donner un statut juridique aux patients et leur donner voix au chapitre,Dec 01 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Steiert (Folge geben)
20140440,Article 8 LCD. Conditions commerciales abusives,Dec 15 2017,Proposition de la majorité (proroger de 2 ans),Proposition de la minorité Vogt (classer)
20140442,Eviter la parcellisation de certains domaines agricoles en donnant des compétences aux cantons,Dec 07 2015,Antrag der Kommission (keine Folge geben),Antrag des Initianten (Folge geben)
20140443,Renforcement de la formation professionnelle au niveau constitutionnel,Dec 07 2015,Antrag der Kommission (keine Folge geben),Antrag des Initianten (Folge geben)
20140444,Transfert de la charge des taxes de surveillance servant à financer la CHS PP. Compléter l'article 64c par un alinéa 4,Mar 17 2017,Annahme der Vorlage,Ablehnung der Vorlage
20140444,Transfert de la charge des taxes de surveillance servant à financer la CHS PP. Compléter l'article 64c par un alinéa 4,Dec 08 2016,Adopter le projet,Rejeter le projet
20140445,Incompatibilité entre un mandat parlementaire et un mandat exercé pour le compte d'une autorité. Eviter les exceptions inutiles,Dec 07 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Heim (Folge geben)
20140446,Clarifier et pérenniser nos liens avec l'Europe,Dec 07 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Quadranti (Folge geben)
20140447,Clarifier et pérenniser nos liens avec l'Europe,Dec 07 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Schneider-Schneiter (Folge geben)
20140448,Soins de transition. Adapter les règles de financement à la pratique,Dec 14 2016,Antrag der Mehrheit (Folge geben),Antrag der Minderheit Herzog (keine Folge geben)
20140450,Retirer la nationalité suisse aux doubles nationaux impliqués dans des activités terroristes ou des opérations de combat,Dec 07 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Romano (Folge geben)
20140452,LACI. Critères relatifs aux mesures de formation en cas de retour à la vie active suite à une période éducative,Apr 27 2016,Antrag der Mehrheit (Folge geben),Antrag der Minderheit Flückiger Sylvia (keine Folge geben)
20140454,Rester neutre en cas de mesures d'embargo,Dec 07 2015,Antrag der Kommission (keine Folge geben),Antrag des Initianten (übernommen von Reimann Lukas) (Folge geben)
20140456,Assurance contre le risque sismique. Création d'une base constitutionnelle,Dec 07 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Badran (Folge geben)
20140461,A la Conférence de coordination de désigner le conseil prioritaire pour les objets importants émanant du Conseil fédéral,May 30 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Rutz Gregor (Folge geben)
20140462,CPP. Droit de participer à l'administration de preuves. Ne pas empêcher l'établissement des faits et la manifestation de la vérité,Dec 08 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Schwander (Folge geben)
20140463,Le Conseil national pense aux parents politiciens!,Mar 17 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Büchel Roland (Nichteintreten)
20140465,Circulation routière. Mêmes marges de sécurité (tolérance) pour les appareils radar et laser,Dec 15 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Wobmann (Folge geben)
20140466,Appareils médicaux et diagnostiques. Pour une réglementation cohérente et dans l'intérêt des assurés,May 30 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Fridez (Folge geben)
20140467,Interdiction de se dissimuler le visage,Sep 27 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Pantani (Folge geben)
20140471,Non aux clauses rétroactives dans les initiatives populaires,Dec 15 2016,Antrag der Mehrheit (Abschreibung der Initiative),Antrag der Minderheit Nantermod (Rückweisung an die Kommission)
20140473,Revenir à un vrai Parlement de milice,Dec 08 2015,Antrag der Mehrheit (keine Fole geben),Antrag der Minderheit Rutz (Folge geben)
20140474,Sauvegarder les compétences du Parlement en matière de politique étrangère et de législation,Sep 21 2016,Antrag der Mehrheit (Folge geben),Antrag der Minderheit Sommaruga (keine Folge geben)
20140475,Pour des dispositions d'application de la LAMal fédéralistes,Mar 17 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Häsler (Folge geben)
20140476,Infractions à la loi sur les denrées alimentaires. Des sanctions appropriées,May 30 2016,Antrag der Kommission (keine Folge geben),Antrag der Urheberin (Folge geben)
20142015,Non à un assouplissement de l'ordonnance sur le matériel de guerre,Dec 15 2017,Proposition de la majorité (ne pas donner suite),Proposition de la minorité Seiler Graf (renvoyer à la commission) 
20143021,Lutte contre les mariages forcés,Mar 03 2016,Annahme des Postulates,Ablehnung des Postulats
20143037,Fixer un objectif de transfert réalisable,Mar 02 2016,Annahme des Postulates,Ablehnung des Postulats
20143040,Placements de la Banque nationale suisse. Protection des réserves et du climat,Mar 08 2016,Annahme der Motion,Ablehnung der Motion
20143056,Assécher le terreau qui nourrit les paradis fiscaux. La Suisse doit y contribuer,Mar 08 2016,Annahme der Motion,Ablehnung der Motion
20143059,Abrogation de l'article contre le racisme,Mar 03 2016,Annahme der Motion,Ablehnung der Motion
20143070,Empêcher les immigrés de bénéficier de l'assurance sociale,Mar 03 2016,Annahme des Postulates,Ablehnung des Postulats
20143077,Pas de stages d'une durée supérieure à une année,Feb 29 2016,Annahme der Motion,Ablehnung der Motion
20143081,Contributions de la Confédération à la fondation Education 21,Feb 29 2016,Annahme der Motion,Ablehnung der Motion
20143092,Droit de l'apprenti à accéder à la maturité professionnelle par la maturité intégrée,Feb 29 2016,Annahme der Motion,Ablehnung der Motion
20143103,Eviter que la Suisse ne perde sa place en tant que pôle de la formation et de la recherche,Feb 29 2016,Annahme der Motion,Ablehnung der Motion
20143116,Sociétés suisses possédant des filiales offshore. Colmater les échappatoires fiscales,Mar 08 2016,Annahme der Motion,Ablehnung der Motion
20143121,Relancer les discussions sur l'Europe,Mar 01 2016,Annahme des Postulates,Ablehnung des Postulats
20143133,Péréquation financière intercantonale. Corriger la distorsion qui pénalise les cantons frontaliers,Mar 08 2016,Annahme der Motion,Ablehnung der Motion
20143135,Sous-effectif inadmissible du Corps des gardes-frontière en Suisse orientale,Mar 08 2016,Annahme der Motion,Ablehnung der Motion
20143143,Stratégie destinée à promouvoir les écoles dispensant un enseignement dans deux langues nationales,Jun 12 2017,Antrag der Mehrheit (abschreiben),Antrag der Minderheit Reynard (nicht abschreiben)
20143148,Distribution du bénéfice de la Banque nationale suisse. Réduire les dettes au lieu d'augmenter les dépenses,Mar 08 2016,Annahme der Motion,Ablehnung der Motion
20143159,Ecoles de recrues. Pas d'activité militaire le week-end,Dec 15 2015,Annahme der Motion,Ablehnung der Motion
20143175,Réduire le gaspillage alimentaire,Feb 29 2016,Annahme der Motion,Ablehnung der Motion
20143188,Faire respecter la loi sur le travail dans les hôpitaux,Feb 29 2016,Annahme der Motion,Ablehnung der Motion
20143219,Retirer la demande d'adhésion à l'UE et dire les choses telles qu'elles sont,Mar 01 2016,Zustimmung zum Ordnungsantrag,Ablehnung des Ordnunsantrages
20143219,Retirer la demande d'adhésion à l'UE et dire les choses telles qu'elles sont,Mar 01 2016,Annahme der Motion,Ablehnung der Motion
20143228,Personnel étranger dans le secteur de la santé. Analyse de la situation et mesures,Feb 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143253,Interdiction du financement indirect de matériels de guerre prohibés. Regrettable lacune,Feb 29 2016,Annahme der Motion,Ablehnung der Motion
20143264,Formation professionnelle. La Confédération et les cantons en font-ils assez pour soutenir l'apprentissage des langues?,Feb 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143301,Simplifier la procédure d'autorisation pour les chauffeurs professionnels,Jun 15 2016,Annahme des Postulates,Ablehnung des Postulats
20143307,Prestations complémentaires et échanges de données,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143310,Elevage de bisons. A quand la fin de la discrimination?,Feb 29 2016,Annahme der Motion,Ablehnung der Motion
20143314,Préserver nos standards écologiques et sociaux face au partenariat transatlantique sur le commerce et l'investissement,Feb 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143316,Quelles sont les entraves juridiques à l'assainissement énergétique des PPE?,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143328,Evolution des coûts du réchauffement climatique pour la Suisse et financement des mesures de protection,Jun 15 2016,Annahme des Postulates,Ablehnung des Postulats
20143336,Renouvellement de l'hymne national. La décision appartient au Parlement ou au peuple suisse et non à un casting télévisé bébête!,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143344,Plus de déodorants contenant de l'aluminium,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143345,Encourager le logement modulaire et évolutif pour optimiser l'usage du bâti existant,Feb 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143366,Dissocier prestations complémentaires et réduction des primes,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143367,Combattre la textopornographie,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143368,Négociations TISA. Le service public n'est pas négociable,Feb 29 2016,Annahme der Motion,Ablehnung der Motion
20143397,Référendum obligatoire pour les aides destinées à l'étranger,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143398,La Suisse ne doit plus attendre la guerre nucléaire!,Dec 15 2015,Annahme der Motion,Ablehnung der Motion
20143407,Mesures de formation prévues par la loi sur l'assurance-chômage,Mar 07 2016,Annahme der Motion,Ablehnung der Motion
20143412,Réduction des rentes en raison de provisions?,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143417,Placer systématiquement les auteurs de violences domestiques devant leurs actes pour les amener à changer,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143425,Contrôler la remise de cannabis,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143439,Interdire les pesticides particulièrement dangereux pour l'environnement et la santé,Mar 07 2016,Annahme der Motion,Ablehnung der Motion
20143447,Activités de la Poste suisse à l'étranger. Faire respecter les conditions fixées par le Conseil fédéral,Jun 15 2016,Annahme der Motion,Ablehnung der Motion
20143453,Contrôle des dispositions régissant l'obligation d'entretien,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143464,Procédures d'asile accélérées également pour les ressortissants d'Etats sûrs,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143478,Interdire la revente de billets à prix majoré,Jun 08 2016,Annahme der Motion,Ablehnung der Motion
20143479,Définir Emmen comme étant l'emplacement d'engagement principal pour la formation de pilotes sur les Pilatus PC-21,Dec 15 2015,Annahme der Motion,Ablehnung der Motion
20143500,Autoriser les fusions de communes intercantonales,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143506,Denrées alimentaires. Chances égales pour la production indigène et l'importation,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143508,Développement des énergies renouvelables indigènes de 2020 à 2035,Jun 15 2016,Annahme des Postulates,Ablehnung des Postulats
20143537,Rapport sur la compétitivité et le rendement de la production agricole et sur l'utilisation des fonds publics en faveur de l'agriculture,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143542,Autoriser à nouveau la vente des animaux âgés de 121 jours ou plus sur les marchés publics,Mar 07 2017,Antrag der Mehrheit (=Annahme der abgeänderten Motion),Antrag der Minderheit Jans (=Ablehnnung der Motion)
20143542,Autoriser à nouveau la vente des animaux âgés de 121 jours ou plus sur les marchés publics,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143546,Protection des troupeaux contre le lynx. Autoriser la détention individuelle de lamas,Jun 15 2016,Annahme der Motion,Ablehnung der Motion
20143558,Création d'une base légale permettant le recouvrement de montants dus pour des cours interentreprises,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143568,Espaces ouverts dans les milieux urbains,Jun 15 2016,Annahme der Motion,Ablehnung der Motion
20143589,Ne pas remettre d'arme d'ordonnance aux extrémistes faisant l'apologie de la violence,Dec 15 2015,Annahme der Motion,Ablehnung der Motion
20143598,Stratégie énergétique. Plan de mesures pour encourager la mobilité douce,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143603,Endiguer le gaspillage alimentaire,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143609,Chômeurs souffrant de problèmes psychiques. Renforcer les ORP,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143623,Fixer des conditions générales propices à une politique climatique digne de ce nom,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143677,Enregistrement de la durée du travail. Compléter immédiatement l'ordonnance 1 relative à la loi sur le travail,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143681,Ne plus taxer inutilement ceux qui nous sauvent,Sep 19 2016,Annahme der Motion,Ablehnung der Motion
20143690,Rapport sur le contrat entre les générations,Sep 19 2016,Annahme der Motion,Ablehnung der Motion
20143691,Interdire le recours à l'aide sociale pour les étrangers qui arrivent en Suisse,Sep 14 2016,Annahme der Motion,Ablehnung der Motion
20143702,Empêcher le mercenariat moderne,Mar 10 2016,Annahme der Motion,Ablehnung der Motion
20143703,Prestations complémentaires. Lutter contre les abus,Sep 19 2016,Annahme der Motion,Ablehnung der Motion
20143705,Retrait de la nationalité suisse pour les djihadistes doubles nationaux,Sep 14 2016,Annahme der Motion,Ablehnung der Motion
20143706,Aide sociale matérielle. Respecter la Constitution,Sep 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143710,Renforcer les mesures préventives en matière d'extrémisme violent,Mar 10 2016,Annahme des Postulates,Ablehnung des Postulats
20143711,Frapper les djihadistes potentiels d'une interdiction de sortie du territoire,Sep 14 2016,Annahme der Motion,Ablehnung der Motion
20143715,Lutte coordonnée contre la prolifération des punaises de lit en Suisse,Sep 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143728,Coût des réglementations pour les entreprises. Supprimer les travaux inutiles dans le domaine de l'AVS,Dec 08 2015,Antrag der Mehrheit (Ablehnung der Motion),Antrag der Minderheit Egloff (Annahme der Motion)
20143731,Améliorer le taux de réussite aux examens de fin d'apprentissage,Sep 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143734,Pas de double nationalité pour les diplomates suisses,Sep 13 2016,Annahme der Motion,Ablehnung der Motion
20143746,Sortir du programme Partenariat pour la paix de l'OTAN,Mar 10 2016,Annahme der Motion,Ablehnung der Motion
20143754,Adapter le système de la protection de l'adulte et de l'enfant,Sep 14 2016,Annahme der Motion,Ablehnung der Motion
20143769,Ligne CFF Yverdon-Payerne. Le Conseil fédéral doit maintenir le transport des marchandises par le rail!,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143780,Lutte contre les prix élevés en Suisse. Présenter une version élaguée de la révision de la loi sur les cartels,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143784,Droit international par la Suisse. Appliquer les règles adoptées pour la Crimée annexée aux territoires occupés de Palestine,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143785,Commission fédérale pour les questions liées au vieillissement et aux relations entre les générations,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143799,Test de paternité sans le consentement de la mère,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143816,Eviter les conflits d'intérêts pour les experts médicaux,Sep 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143818,Instaurer un permis de chasse fédéral,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143825,Faire de la protection des minorités religieuses et autres un objectif important de la politique extérieure suisse,Sep 13 2016,Annahme der Motion,Ablehnung der Motion
20143826,Lutter contre la discrimination religieuse au moyen de la politique de développement,Sep 13 2016,Annahme der Motion,Ablehnung der Motion
20143831,Indemnités des personnes s'investissant dans des tâches publiques. Modifications de la LHID et de la LIFD,Sep 19 2016,Annahme des Postulates,Ablehnung des Postulats
20143832,Cinquantième anniversaire de la propriété par étages. Etablissement d'une vue d'ensemble,Sep 14 2016,Annahme des Postulates,Ablehnung des Postulats
20143834,Simplifier la répartition et le contrôle des aides financières destinées aux associations de consommateurs,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143837,Carburants synthétiques neutres du point de vue du CO2. Prendre en considération les réductions d'émissions de CO2 réalisées en adaptant la réglementation relative aux émissions des voitures de tourisme,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143840,Soumettre l'exploitation d'hélicoptères en Suisse au droit suisse,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143854,Analyser l'efficacité des mesures prises pour renforcer la sécurité de l'approvisionnement,Sep 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143859,La sécurité par la coopération. Extension de la coopération en Europe pour assurer la sécurité à long terme de l'espace aérien,Mar 10 2016,Annahme des Postulates,Ablehnung des Postulats
20143860,Analyse et évaluation globales et indépendantes des risques pour la sécurité sur une base scientifique,Mar 10 2016,Annahme der Motion,Ablehnung der Motion
20143861,Pour une assurance d'indemnités journalières efficace en cas de maladie,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143862,Prévention et pilotage des prestations dans l'assurance-maladie,Sep 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143869,Renforcement supplémentaire du Corps des gardes-frontière pour la région du nord-ouest de la Suisse,Sep 19 2016,Annahme der Motion,Ablehnung der Motion
20143880,Préciser les bases légales qui régissent l'allocation d'aides financières aux associations de consommateurs,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143882,Planification des capacités des usines d'incinération des ordures avec récupération des rejets de chaleur,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143895,Abroger l'obligation d'utiliser les pistes cyclables,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143897,"Prendre des mesures contre la malédiction des matières premières""""",Sep 14 2016,Annahme des Postulates,Ablehnung des Postulats
20143898,Centre de compétences en matière de sécurité aux frontières,Sep 14 2016,Annahme des Postulates,Ablehnung des Postulats
20143899,Ne pas défavoriser les étables à stabulation entravée,Mar 05 2018, Proposition de la majorité (adopter la motion dans la version du CE),Proposition de la minorité Jans et du Conseil fédéral (rejeter)
20143899,Ne pas défavoriser les étables à stabulation entravée,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143904,Renforcement du système de milice au niveau communal,Sep 14 2016,Annahme der Motion,Ablehnung der Motion
20143906,Dettes envers l'assurance-chômage. Que les chefs des entreprises en faillite passent à la caisse,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143908,Internet. Zéro tolérance envers l'intolérance,Sep 14 2016,Annahme des Postulates,Ablehnung des Postulats
20143928,Adaptation du financement de la formation médicale spécialisée et des professions médicales universitaires,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143929,Examen des agréments fiscaux de l'Administration fédérale des contributions et de l'Intendance des impôts du canton de Berne par un organe indépendant,Sep 22 2016,Annahme der Motion,Ablehnung der Motion
20143947,Réouverture de la jonction autoroutière d'Emmen Nord,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143948,Administration fédérale. 20 pour cent de postes à temps partiel pour les hommes d'ici à 2020,Sep 22 2016,Annahme der Motion,Ablehnung der Motion
20143951,Retombées économiques des activités de la Confédération dans les cantons. Plus de transparence,Sep 22 2016,Annahme des Postulates,Ablehnung des Postulats
20143955,Faire passer à 24 000 francs le montant déductible au titre des frais de garde des enfants par des tiers,Sep 22 2016,Annahme der Motion,Ablehnung der Motion
20143962,Améliorer l'assistance administrative internationale en cas d'infractions contre des enfants sur Internet,Sep 14 2016,Annahme des Postulates,Ablehnung des Postulats
20143970,Instituer un médiateur dans le domaine du deuxième pilier,Sep 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143973,Systèmes d'incitation. Encourager les gens à consommer des fruits et des légumes,Sep 29 2016,Annahme des Postulates,Ablehnung des Postulats
20143974,"Modifier l'article 32 alinéa 1 de l'ordonnance relative à l'admission, au séjour et à l'exercice d'une activité lucrative",Sep 27 2016,Annahme der Motion,Ablehnung der Motion
20143975,Portefeuilles hypothécaires. Couvrir le risque sismique,Sep 22 2016,Annahme der Motion,Ablehnung der Motion
20143976,Veiller à ne pas compliquer la mise en oeuvre de la Stratégie énergétique 2050,Jun 16 2016,Annahme der Motion,Ablehnung der Motion
20143980,Renforcer les compétences de la Commission fédérale contre le racisme,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143990,Pour le développement de drones solaires et de pseudo-satellites suisses,Jun 16 2016,Annahme des Postulates,Ablehnung des Postulats
20143993,Uniformisation des paquets de cigarettes,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20143995,Punir plus sévèrement les agressions dont sont victimes les fonctionnaires et les autorités,Sep 27 2016,Annahme der Motion,Ablehnung der Motion
20144013,LAMal. Reconnaissance des prestations des pédicures-podologues diplômés pour les soins prodigués sur prescription médicale,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20144019,Arrêts Alptransit à Biasca. Pour que les trois vallées ne ratent pas le train,Sep 12 2016,Annahme des Postulates,Ablehnung des Postulats
20144024,Easy Swiss Tax. Simplification de la fiscalité applicable aux personnes physiques,Sep 22 2016,Annahme der Motion,Ablehnung der Motion
20144025,La prévention de la violence domestique. Une mission de santé publique,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20144038,Défense du fédéralisme. Juridiction constitutionnelle limitée en faveur des cantons,Sep 27 2016,Annahme der Motion,Ablehnung der Motion
20144039,Freiner la croissance des dépenses de la Confédération,Mar 16 2016,Annahme der Motion,Ablehnung der Motion
20144045,Loi fédérale sur la pêche. Autoriser l'utilisation d'hameçons avec ardillon dans les cours d'eau,Sep 12 2016,Annahme der Motion,Ablehnung der Motion
20144053,Les coffres bancaires ne doivent plus servir de refuge à l'argent non déclaré ou blanchi,Sep 22 2016,Annahme der Motion,Ablehnung der Motion
20144067,Bonus excessifs dans les banques. Empêcher les mauvaises incitations,Sep 22 2016,Annahme der Motion,Ablehnung der Motion
20144068,"Interdiction d'exercer pour les banksters"" qui violent la loi""",Sep 22 2016,Annahme der Motion,Ablehnung der Motion
20144069,Rapport sur les moyens dont dispose la FINMA en comparaison internationale,Sep 22 2016,Annahme des Postulates,Ablehnung des Postulats
20144070,Loi-cadre sur l'aide sociale,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20144071,Instaurer un système de bonus-malus dans le cadre de la RPT,Sep 22 2016,Annahme des Postulates,Ablehnung des Postulats
20144075,La Poste. Distribution du courrier pour tout le monde!,Sep 12 2016,Annahme der Motion,Ablehnung der Motion
20144093,Hypothèques sur les immeubles agricoles. Pas de pénalisation injustifiée,Sep 22 2016,Annahme der Motion,Ablehnung der Motion
20144099,Supprimer la TVA sur les services de transport bénévoles,Sep 22 2016,Annahme der Motion,Ablehnung der Motion
20144113,Autorité de protection de l'enfant et de l'adulte. Améliorer l'exécution,Sep 27 2016,Annahme des Postulates,Ablehnung des Postulats
20144118,Promotion des exportations et du commerce des PME avec la Chine,Sep 22 2016,Annahme des Postulates,Ablehnung des Postulats
20144127,Lutte contre l'islamophobie et l'antisémitisme par des mesures actives de prévention en complément des sanctions pour xénophobie ou racisme,Sep 29 2016,Annahme des Postulates,Ablehnung des Postulats
20144136,La croissance économique ne doit pas être un facteur pénalisant. Mettre au jour la progression à froid réelle,Sep 22 2016,Annahme des Postulates,Ablehnung des Postulats
20144161,Congé parental,Sep 29 2016,Annahme der Motion,Ablehnung der Motion
20144166,Protection de la concurrence sur les réseaux de télécommunication du futur,Sep 21 2016,Annahme der Motion,Ablehnung der Motion
20144170,Transport de marchandises dangereuses par le rail,Sep 21 2016,Annahme des Postulates,Ablehnung des Postulats
20144171,Chargement de voitures sur le train. Réexamen du prix du sillon,Sep 21 2016,Annahme des Postulates,Ablehnung des Postulats
20144177,Mieux lutter contre les causes des accidents sur les passages pour piétons,Sep 21 2016,Annahme der Motion,Ablehnung der Motion
20144186,Libre-échange entre l'UE et les Etats-Unis. Adopter une stratégie d'opportunité,Feb 29 2016,Annahme des Postulates,Ablehnung des Postulats
